1-19856284216,JOHOR,ZONE PANDAN,System generated comments
1-19858589316,JOHOR,ZONE PANDAN,
1-19857889439,JOHOR,ZONE SKUDAI / PONTIAN,System generated comments
1-19860635090,JOHOR,ZONE PANDAN,System generated comments
1-19862140879,JOHOR,ZONE KLUANG/MERSING,key fone  rosak....advise sub CTC suplier [Q004575 @ 08/27/2018 02:27:58 PM]  ip [Q004575 @ 08/27/2018 12:03:16 PM]  [MA] Erwin [Added By B12794 27/08/2018 11:27:37 AM] Service No:00707732212Problem:DT_NDTPrevious TT Remarks:CAMS/ICP status: Account Name
1-19864449852,JOHOR,ZONE SEGAMAT / MUAR,[Test Type:Verify STX];[Test Status:Successful];[User ID:ttkia];[Session Start Time:27/08/2018 04:45:39]tukar moderm [Q004521 @ 08/27/2018 04:49:55 PM]  ip [Q004521 @ 08/27/2018 04:46:16 PM]  [MA] ma [Added By K15409 27/08/2018 03:53:25 PM] ==============
1-19857588628,JOHOR,ZONE SENAI,tukar set telefon baru test line ok tq [Q004813 @ 08/27/2018 02:35:16 PM]  [MA] mn [Added By K23654 27/08/2018 08:45:18 AM] l[Q004814 @ 08/26/2018 06:55:56 PM] l[Q004814 @ 08/26/2018 05:14:07 PM] Service No:00708961255Problem: DT_NO DIAL TONEPrevious TT
1-19863263870,JOHOR,ZONE BATU PAHAT,[Test Type:Verify STX];[Test Status:Successful];[User ID:tan1398];[Session Start Time:27/08/2018 02:10:36] test OK  [Q005508 @ 08/27/2018 04:54:00 PM]  h [Q005508 @ 08/27/2018 04:53:19 PM]  [MA]   [Added By K17676 27/08/2018 11:56:11 AM] SN/Login ID: tan1
1-19863635226,JOHOR,ZONE KLUANG/MERSING,tukar fius cabinet tes okA [Q004479 @ 08/27/2018 04:49:21 PTG]  [MA] Ahmad Maliki Bin Yadi [Added By B12794 27/08/2018 02:26:49 PM] Service No: 00707878208Problem: ASSIT CUST ON DEL T/S ndtCAMS/ICP status: activeIf Customer Call Back:Request O&M to check
1-19851203966,JOHOR,ZONE TAMPOI,reconfigure modm @amirul [Test Type:Verify STX];[Test Status:Successful];[User ID:ft_ilham];[Session Start Time:27/08/2018 02:53:28] [Q004823 @ 08/27/2018 04:56:25 PM]    [Q004823 @ 08/27/2018 01:05:37 PM]  [MA] . [Added By B15824 27/08/2018 08:42:38 AM]
1-19827795723,JOHOR,ZONE TAMPOI,
1-19858341083,JOHOR,ZONE TAMPOI,tukar eside  154185; test line ok by sub@zaim/hazim [Q004823 @ 08/27/2018 09:24:23 AM]  [MA] . [Added By B15824 27/08/2018 08:55:37 AM] [MA] . [Added By B15824 27/08/2018 08:55:12 AM] ra esok[Q004823 @ 08/26/2018 05:44:40 PM]  [Q004823 @ 08/26/2018 01:22
1-19862788705,JOHOR,ZONE KLUANG/MERSING,line di cabinet heng tes okAh [Q004479 @ 08/27/2018 04:50:40 PTG]  [MA] Ahmad Maliki Bin Yadi [Added By B12794 27/08/2018 02:24:47 PM] CVP  Auto Ticket Creation Verification via call to 00707879840 has been successfully done. Please proceed to RESOLVE th
1-19847759406,JOHOR,ZONE TAMPOI,
1-19847759503,JOHOR,ZONE TAMPOI,
1-19848603153,JOHOR,ZONE TAMPOI,
1-19848602956,JOHOR,ZONE TAMPOI,
1-19848603005,JOHOR,ZONE TAMPOI,
